Volatility 3 Framework 2.8.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
3440	660	WmiPrvSE.exe	0xfa80333d6060	13	332	0	False	2020-04-20 23:17:13.000000 UTC	N/A	Disabled
4196	3384	chrome.exe	0xfa8033806b00	8	106	1	False	2020-04-20 23:17:15.000000 UTC	N/A	Disabled
4236	3384	chrome.exe	0xfa80337d8b00	13	245	1	False	2020-04-20 23:17:15.000000 UTC	N/A	Disabled
4404	3384	chrome.exe	0xfa80310b1780	13	218	1	False	2020-04-20 23:17:19.000000 UTC	N/A	Disabled
4600	3384	chrome.exe	0xfa80327dcb00	13	225	1	False	2020-04-20 23:17:32.000000 UTC	N/A	Disabled
2984	2672	iexplore.exe	0xfa8032c66060	14	514	1	False	2020-04-20 23:18:35.000000 UTC	N/A	Disabled
4480	2984	iexplore.exe	0xfa8031d34a40	18	566	1	True	2020-04-20 23:18:35.000000 UTC	N/A	Disabled
4332	2672	FTK Imager.exe	0xfa8031ac2b00	12	421	1	True	2020-04-20 23:19:17.000000 UTC	N/A	Disabled
1092	472	WmiApSrv.exe	0xfa80326c94e0	4	106	0	False	2020-04-20 23:19:22.000000 UTC	N/A	Disabled
4056	2580	SearchProtocol	0xfa8033474b00	7	317	0	False	2020-04-20 23:23:19.000000 UTC	N/A	Disabled
1996	2580	SearchFilterHo	0xfa80321b8690	6	88	0	False	2020-04-20 23:23:19.000000 UTC	N/A	Disabled
2188	3384	chrome.exe	0xfa8031af5060	14	480	1	False	2020-04-20 23:24:22.000000 UTC	N/A	Disabled
4484	3384	chrome.exe	0xfa8032150b00	16	184	1	False	2020-04-20 23:24:22.000000 UTC	N/A	Disabled
